TDPF_solver,load_ratio,air_temp,wind_speed,max_conductor_temp,exper_id,solver_status,load,node_load_shedding,node_mis_match_0001_num,node_mis_match_001_num,node_mis_match_01_num,0.7_flow_num,0.7_temp_num,tem_con_mean,tem_con_max,run_time,gen_cost,0.8_flow_num,0.8_temp_num,0.9_flow_num,0.9_temp_num
td_iter_2,0.8,45,0.1,90,heatflow_analysis,1,0.6801600000000001,-5.290953324499279e-06,0,0,0,0,10,63.30913947122853,89.99980002641678,0.3983168601989746,7235.311791223168,0,5,0,1
base_acsc,0.8,45,0.1,90,heatflow_analysis,1,0.6801600000000001,-9.232038119258371e-06,0,0,0,0,9,63.106035001394226,85.75192898511887,2.0190370082855225,7440.878236438678,0,4,0,1
base_dcsc,0.8,45,0.1,90,heatflow_analysis,1,0.6801600000000001,-6.279834975632545e-06,0,0,0,0,10,63.35665533455407,92.48490482568741,0.7611939907073975,7025.718636615553,0,5,0,1
base_fixsc,0.8,45,0.1,90,heatflow_analysis,1,0.6801600000000001,-6.313874123731809e-06,0,0,0,0,10,63.36397465409302,93.07862192392349,0.18238592147827148,6965.423378206973,0,5,0,1
base,0.9,25,0.61,90,heatflow_analysis,1,0.76518,5.016750340007078e-06,0,0,0,1,1,36.66659410043461,74.72889497876167,0.24551725387573242,6788.587968024209,1,1,1,0
td_quad,0.9,25,0.61,90,heatflow_analysis,1,0.76518,-4.042586708714483e-06,0,0,0,1,1,36.69197150483364,74.72980245947838,0.25450587272644043,6844.564271449577,1,1,1,0
td_derate_iter_2,0.9,25,0.61,90,heatflow_analysis,1,0.76518,-8.075530248981843e-06,0,0,0,1,1,36.69195115202811,74.730334430933,0.4146909713745117,6844.828267197852,1,1,1,0
td_derate_iter_10,0.9,25,0.61,90,heatflow_analysis,1,0.76518,-8.07552822430621e-06,0,0,0,1,1,36.69195140643818,74.730334430933,0.8028459548950195,6844.827620206146,1,1,1,0
base_derate,0.9,25,0.61,90,heatflow_analysis,1,0.76518,1.3073788254709183e-06,0,0,0,1,1,36.66655059631278,74.7291348874569,0.1783912181854248,6788.46182898127,1,1,1,0
td_iter_2,0.9,25,0.61,90,heatflow_analysis,1,0.76518,-8.075530248981843e-06,0,0,0,1,1,36.69195115202811,74.730334430933,0.3996870517730713,6844.828267197852,1,1,1,0
base_acsc,0.9,25,0.61,90,heatflow_analysis,1,0.76518,7.290843048673715,5,5,0,0,0,35.70063112349045,51.04081109166145,1.899672269821167,7631.57239641985,0,0,0,0
base_dcsc,0.9,25,0.61,90,heatflow_analysis,1,0.76518,6.3328403769714825,4,4,0,0,0,35.78024086792295,52.21661403775215,0.9077808856964111,7684.288854487432,0,0,0,0
base_fixsc,0.9,25,0.61,90,heatflow_analysis,1,0.76518,4.176730797921534,1,1,1,0,0,36.02276820598579,52.94162854552269,0.20445799827575684,7814.049206897092,0,0,0,0
base,0.9,25,0.1,90,heatflow_analysis,1,0.76518,5.016750340007078e-06,0,0,0,1,1,46.21026605004218,106.5538577735424,0.34392595291137695,6788.587968024209,1,1,1,1
td_quad,0.9,25,0.1,90,heatflow_analysis,1,0.76518,-8.207853502973788e-06,0,0,0,1,1,45.690563266597145,87.1163822710514,0.2196648120880127,7735.70192683417,1,1,0,1
td_derate_iter_2,0.9,25,0.1,90,heatflow_analysis,1,0.76518,-6.723986279528735e-06,0,0,0,1,1,45.7700437707145,90.00012651085854,0.40184497833251953,7594.206617322994,1,1,0,1
td_derate_iter_10,0.9,25,0.1,90,heatflow_analysis,1,0.76518,-6.789374913230145e-06,0,0,0,1,1,45.77005420152734,90.00012651085854,0.9993782043457031,7594.073311797655,1,1,0,1
base_derate,0.9,25,0.1,90,heatflow_analysis,1,0.76518,1.3073788254709183e-06,0,0,0,1,1,46.21019099907177,106.55420199036598,0.24584603309631348,6788.46182898127,1,1,1,1
td_iter_2,0.9,25,0.1,90,heatflow_analysis,1,0.76518,-6.723986279528735e-06,0,0,0,1,1,45.7700437707145,90.00012651085854,0.41115593910217285,7594.206617322994,1,1,0,1
base_acsc,0.9,25,0.1,90,heatflow_analysis,1,0.76518,7.290843048673715,5,5,0,0,1,44.67256935994799,70.968347042799,1.9710519313812256,7631.57239641985,0,0,0,0
base_dcsc,0.9,25,0.1,90,heatflow_analysis,1,0.76518,6.3328403769714825,4,4,0,0,1,44.80496868491173,72.81346395611763,0.7874269485473633,7684.288854487432,0,1,0,0
base_fixsc,0.9,25,0.1,90,heatflow_analysis,1,0.76518,4.176730797921534,1,1,1,0,1,45.236551707110756,73.94638583064079,0.24947476387023926,7814.049206897092,0,1,0,0
base,0.9,45,0.61,90,heatflow_analysis,1,0.76518,5.016750340007078e-06,0,0,0,1,5,56.356426310248494,95.17802864313126,0.17406797409057617,6788.587968024209,1,1,1,1
td_quad,0.9,45,0.61,90,heatflow_analysis,1,0.76518,-7.594954988302757e-06,0,0,0,1,5,56.301304952400486,91.87147229909897,0.22176885604858398,7088.422451285337,1,1,1,1
td_derate_iter_2,0.9,45,0.61,90,heatflow_analysis,1,0.76518,-3.223585012213214e-06,0,0,0,1,5,56.243053696504454,89.9998739361763,0.40674304962158203,7200.718473610104,1,1,1,1
td_derate_iter_10,0.9,45,0.61,90,heatflow_analysis,1,0.76518,-3.279698249754542e-06,0,0,0,1,5,56.24306000587417,89.9998739361763,1.1747100353240967,7200.685316746536,1,1,1,1
base_derate,0.9,45,0.61,90,heatflow_analysis,1,0.76518,-7.251977155302918e-06,0,0,0,1,5,56.3564105368242,95.17928510904312,0.17577910423278809,6788.253811050783,1,1,1,1
td_iter_2,0.9,45,0.61,90,heatflow_analysis,1,0.76518,-3.716542208470844e-06,0,0,0,1,5,56.243073075282865,89.99991089105606,0.4082653522491455,7200.704590971234,1,1,1,1
base_acsc,0.9,45,0.61,90,heatflow_analysis,1,0.76518,7.290843048673715,5,5,0,0,2,55.370606220350034,71.14388674497604,1.891913890838623,7631.57239641985,0,0,0,0
base_dcsc,0.9,45,0.61,90,heatflow_analysis,1,0.76518,6.3328403769714825,4,4,0,0,2,55.452293630053354,72.34586268663406,0.7836189270019531,7684.288854487432,0,1,0,0
base_fixsc,0.9,45,0.61,90,heatflow_analysis,1,0.76518,4.176730797921534,1,1,1,0,2,55.70210861723597,73.08653086423874,0.18223786354064941,7814.049206897092,0,1,0,0
base,0.9,45,0.1,90,heatflow_analysis,1,0.76518,5.016750340007078e-06,0,0,0,1,10,64.92998139887321,125.45442253351212,0.2000586986541748,6788.587968024209,1,5,1,3
td_quad,0.9,45,0.1,90,heatflow_analysis,1,0.76518,6.74470749915225,1,1,1,0,10,63.927089957202355,90.44545739889145,0.22312402725219727,7744.870747370034,0,6,0,2
td_derate_iter_2,0.9,45,0.1,90,heatflow_analysis,1,0.76518,8.061422417012375,2,2,1,0,10,63.87238636976335,90.00000327825546,0.3915250301361084,7591.517024673132,0,6,0,2
td_derate_iter_10,0.9,45,0.1,90,heatflow_analysis,1,0.76518,8.059440444053958,2,2,1,0,10,63.8724728982623,90.00000327825546,1.0556540489196777,7591.554689754335,0,6,0,2
base_derate,0.9,45,0.1,90,heatflow_analysis,1,0.76518,-7.251977155302918e-06,0,0,0,1,10,64.92997328682644,125.45619636774063,0.18291997909545898,6788.253811050783,1,5,1,3
