Line,0
merged_relation/11762422-400-b+2,317
merged_relation/1208415-380-c+1,985
merged_relation/14096017-380-b+3,184
merged_relation/14096018-380-b+5,185
merged_relation/14592471-380-b+1,1004
merged_relation/14592735-380-c+1,713
merged_relation/14650683-220-a+2,323
merged_relation/1636708-380-b+1,397
merged_relation/1735055-220-a+2,651
merged_relation/1735059-220-d+2,804
merged_relation/3693986-380-c+1,802
merged_relation/3883863-380-a+1,559
merged_relation/3916226-380-c+3,320
merged_relation/3926258-380-b+1,828
merged_relation/3943784-220+1,697
merged_relation/3948325-400-a+2,324
merged_relation/5410916-380-b+1,71
merged_relation/5465776-225+1,2107
merged_relation/5609696-380-a+3,293
merged_relation/5978210-220-a+1,212
merged_relation/5978213-220-a+1,213
merged_relation/5978223-220-a+1,255
merged_relation/6194778-225-b+4,2759
merged_relation/6196079-225+1,1905
merged_relation/6221844-400-a+1,2228
merged_relation/6266651-380+1,3640
merged_relation/6270034-380-c+2,3794
merged_relation/6272091-380-b+2,3730
merged_relation/6272241-380-b+1,3961
merged_relation/6359579-400-a+1,2451
merged_relation/6430001-400-b+1,2695
merged_relation/6879072-225+1,2594
merged_relation/69489-380-a+1,380
merged_relation/8398061-225+1,2133
merged_relation/8423568-225-b+1,1753
merged_relation/8481942-225-e+4,1811
merged_way/100497456-400+1,2246
merged_way/100861731-400+1,3065
merged_way/101203873-220+1,3861
merged_way/1018376463-275+1,3342
merged_way/102885058-1-220+7,219
merged_way/1029008416-220+2,3935
merged_way/103881921-220+1,1695
merged_way/103961903-400+1,3036
merged_way/1054310286-400+2,4103
merged_way/105572022-1-380+2,826
merged_way/105572022-2-220+6,824
merged_way/105623757-220+2,76
merged_way/106509511-380+2,5
merged_way/106607617-220+8,779
merged_way/106607620-1-220+1,824
merged_way/106607816-1-220+1,3883
merged_way/106620935-1-380+1,646
merged_way/106694584-225+1,1986
merged_way/107175372-1-380+1,992
merged_way/107175372-2-220+1,992
merged_way/1072230175-1-380+2,794
merged_way/107686849-220+1,991
merged_way/108188242-1-220+3,659
merged_way/108388734-1-220+1,451
merged_way/108526478-2-220+2,570
merged_way/109195942-1-220+2,877
merged_way/109330042-1-380+8,583
merged_way/1093664414-380+7,768
merged_way/109507318-1-380+2,823
merged_way/109507318-2-220+1,823
merged_way/109563298-1-220+1,855
merged_way/109563300-1-220+1,854
merged_way/1098393180-380+1,745
merged_way/1106027181-275+1,3395
merged_way/1106689555-3-220+2,252
merged_way/1106689555-380+2,252
merged_way/111700589-220+2,1400
merged_way/111963058-3-220+7,616
merged_way/111963058-380+2,675
merged_way/1122891802-400+1,4074
merged_way/112454229-1-380+2,919
merged_way/112454229-2-220+1,917
merged_way/1131127616-1-380+1,695
merged_way/1131127622-380+1,897
merged_way/1143752414-1-225+3,2783
merged_way/114377984-1-380+6,534
merged_way/114377984-2-220+4,1002
merged_way/114438591-400+1,3059
merged_way/114984936-380+4,90
merged_way/115331559-225+2,2868
merged_way/1155109900-220+1,3880
merged_way/116697004-380+2,3635
merged_way/1167463572-225+1,2826
merged_way/117219267-400+2,3204
merged_way/1178282955-2-220+1,301
merged_way/1178282960-220+1,226
merged_way/117979290-1-400+2,2568
merged_way/117979290-2-225+2,2644
merged_way/118354783-1-225+3,2535
merged_way/118436919-380+1,601
merged_way/1185493736-380+1,456
merged_way/118904273-380+1,674
merged_way/119294906-275+1,3401
merged_way/119854574-225+1,2828
merged_way/119854592-225+1,2378
merged_way/120042944-220+1,1194
merged_way/120042960-220+1,1404
merged_way/120494099-220+10,763
merged_way/1205148002-220+1,3866
merged_way/121089541-225-a+2,2153
merged_way/121199247-2-220+3,951
merged_way/121299966-225+2,1853
merged_way/121921889-220-a+2,1435
merged_way/122910469-400-b+1,1974
merged_way/1241945684-1-380+1,627
merged_way/1243143643-220+1,1802
merged_way/1247287581-1-400+1,1786
merged_way/1247287581-2-220+1,1786
merged_way/125232794-400+3,1103
merged_way/1254835017-400+1,1415
merged_way/1257622757-1-400+1,4194
merged_way/1257622758-2-220+1,4158
merged_way/127187723-380+1,384
merged_way/127205657-220+2,4155
merged_way/127205660-220+3,4112
merged_way/127249099-1-220+8,1165
merged_way/127249104-1-220-c+1,1605
merged_way/1272904309-225+1,2796
merged_way/127528723-1-220-a+2,1677
merged_way/127875102-1-400+3,2023
merged_way/127875102-2-225+1,2017
merged_way/128602096-220+2,3733
merged_way/1286792202-380+3,703
merged_way/128714156-380+2,594
merged_way/1290077791-275+2,3188
merged_way/129175345-380+2,847
merged_way/129518306-220+1,1331
merged_way/130110647-1-400-b+3,2972
merged_way/130110647-2-225-a+1,2452
merged_way/130110647-2-225-b+1,2484
merged_way/130229448-220+1,21
merged_way/131293965-220+1,3550
merged_way/131472622-380+2,829
merged_way/1316892964-220+2,1702
merged_way/132074206-220+1,514
merged_way/132703031-220+1,3942
merged_way/134568224-380+1,66
merged_way/135457224-400+1,1515
merged_way/135909670-400+1,4139
merged_way/137569748-400+1,1160
merged_way/138220867-380+2,986
merged_way/139014836-220+2,4164
merged_way/139305260-1-380+2,398
merged_way/139305260-2-220+2,398
merged_way/140575361-380+5,237
merged_way/141442913-220+1,161
merged_way/142456150-225+2,2612
