Bus,busmap
way/145333039-220,ES0 156
way/145337069-220,ES0 32
way/145456411-220,ES0 168
way/145461765-400,ES0 210
way/145466007-220,ES0 248
way/145478409-220,ES0 145
way/145599515-220,ES0 78
way/145821099-220,ES0 53
way/145823172-400,ES0 53
way/151490968-220,ES0 241
way/158620489-220,ES0 256
way/159930931-400,ES0 116
way/164823726-220,ES0 241
way/165580300-400,ES0 178
way/168357739-400,ES0 52
way/168358225-400,ES0 232
way/169523046-400,ES0 139
way/169528510-220,ES0 140
way/169703140-220,ES0 230
way/169703141-220,ES0 96
way/169729505-400,ES0 2
way/169769013-220,ES0 244
way/169867109-400,ES0 93
way/169882238-220,ES0 177
way/169882239-220,ES0 163
way/169883205-400,ES0 143
way/169947613-220,ES0 262
way/169999915-400,ES0 134
way/170140947-220,ES0 273
way/170156685-220,ES0 273
way/170371019-220,ES0 223
way/170424446-400,ES0 43
way/170424447-400,ES0 141
way/170424455-400,ES0 72
way/170433606-220,ES0 72
way/170485452-220,ES0 22
way/170485453-400,ES0 150
way/170511092-400,ES0 108
way/170519401-220,ES0 64
way/170607798-220,ES0 101
way/170671537-220,ES0 101
way/170779407-220,ES0 114
way/170779408-220,ES0 31
way/170946426-400,ES0 243
way/170954487-400,ES0 154
way/170968145-400,ES0 245
way/170968150-220,ES0 129
way/171071300-220,ES0 243
way/171106850-220,ES0 245
way/171251565-400,ES0 130
way/171256169-400,ES0 97
way/171274139-220,ES0 237
way/171277174-220,ES0 237
way/171277691-220,ES0 238
way/171419971-220,ES0 30
way/171560239-220,ES0 78
way/172454609-220,ES0 234
way/173191596-220,ES0 55
way/178294745-400,ES0 80
way/179492338-220,ES0 201
way/180545587-220,ES0 178
way/181621073-220,ES0 123
way/181664117-400,ES0 74
way/181906370-400,ES0 128
way/181912569-400,ES0 89
way/181917947-220,ES0 37
way/187392726-220,ES0 174
way/187645709-400,ES0 27
way/187830917-220,ES0 28
way/189184531-400,ES0 18
way/189184555-400,ES0 71
way/189577215-400,ES0 79
way/190058570-400,ES0 42
way/190098039-220,ES0 42
way/190110739-400,ES0 197
way/190236352-400,ES0 91
way/190249315-220,ES0 11
way/190249507-220,ES0 249
way/190289523-220,ES0 233
way/190907238-220,ES0 36
way/191053032-220,ES0 161
way/191095881-220,ES0 157
way/191485195-400,ES0 54
way/194360413-220,ES0 14
way/194699926-220,ES0 182
way/194699929-220,ES0 54
way/196202210-220,ES0 4
way/196202213-400,ES0 4
way/196207063-400,ES0 205
way/196215046-400,ES0 25
way/196483351-220,ES0 106
way/196484252-220,ES0 213
way/196522660-220,ES0 32
way/196533213-220,ES0 218
way/196544701-220,ES0 87
way/202891403-400,ES0 253
way/205141906-220,ES0 227
way/217745445-400,ES0 239
way/222873301-220,ES0 8
way/222895334-400,ES0 31
way/222901014-220,ES0 190
way/226363063-400,ES0 120
way/226886241-400,ES0 180
way/23882397-220,ES0 222
way/258916144-220,ES0 53
way/27668869-400,ES0 81
way/27936937-400,ES0 167
way/27937443-220,ES0 44
way/27949649-400,ES0 6
way/28048116-220,ES0 223
way/28308003-400,ES0 150
way/283348372-400,ES0 247
way/28400958-220,ES0 99
way/28491137-220,ES0 138
way/28526748-220,ES0 223
way/28526821-220,ES0 223
way/28648202-220,ES0 30
way/28683005-400,ES0 6
way/28683269-220,ES0 223
way/291666290-220,ES0 109
way/292277455-220,ES0 267
way/31110032-225,ES0 76
way/325432908-220,ES0 6
way/327268322-400,ES0 48
way/33771314-400,ES0 219
way/338683860-220,ES0 72
way/340399370-400,ES0 103
way/34585227-400,ES0 45
way/346490586-220,ES0 223
way/365551344-220,ES0 253
way/370803224-220,ES0 29
way/39827901-220,ES0 45
way/399055749-220,ES0 140
way/411107082-220,ES0 192
way/419408372-220,ES0 176
way/43797051-220,ES0 119
way/43842955-400,ES0 239
way/445989313-220,ES0 122
way/44633677-220,ES0 251
way/457010443-220,ES0 241
way/46106589-220,ES0 204
way/47367769-220,ES0 26
way/47842260-400,ES0 164
way/47908906-220,ES0 68
way/47911346-400,ES0 41
way/48304858-220,ES0 38
way/48310486-220,ES0 146
way/48467553-220,ES0 226
way/49252090-220,ES0 37
way/49258709-220,ES0 89
way/51188420-400,ES0 59
way/51822825-400,ES0 193
way/52516392-400,ES0 136
way/56137765-400,ES0 63
way/576439241-400,ES0 17
way/586348408-220,ES0 244
way/58928252-400,ES0 54
way/60063660-400,ES0 179
way/60342307-220,ES0 214
way/60351390-400,ES0 159
way/60354466-220,ES0 217
way/60398296-220,ES0 240
way/626886449-400,ES0 90
way/651711449-400,ES0 263
way/666476490-220,ES0 181
way/675714143-400,ES0 85
way/677413570-400,ES0 44
way/683693772-400,ES0 274
way/683892938-400,ES0 170
way/701397734-400,ES0 174
way/71796402-400,ES0 256
way/729485840-400,ES0 57
way/731605861-220,ES0 197
way/73511619-400,ES0 252
way/73683435-220,ES0 252
way/74384031-400,ES0 254
way/75606778-400,ES0 95
way/75619319-220,ES0 95
way/75902880-400,ES0 66
way/772400244-400,ES0 70
way/77640470-400,ES0 270
way/77654729-400,ES0 270
way/782365013-220,ES0 200
way/789683722-220,ES0 219
way/81152317-400,ES0 169
way/828193563-220,ES0 158
way/84526032-400,ES0 165
way/84883895-220,ES0 117
way/85817084-400,ES0 62
way/86512030-400,ES0 160
way/88760627-400,ES0 160
way/89084456-220,ES0 135
way/90829734-400,ES0 128
way/913515391-220,ES0 119
way/91441017-220,ES0 19
way/921541546-400,ES0 258
way/931793946-400,ES0 3
way/970599107-220,ES0 266
way/97286424-400,ES0 58
way/977168018-220,ES0 144
way/97937366-400,ES0 125
way/983523978-400,ES0 99
way/989699715-400,ES0 250
way/991952490-220,ES0 172
way/139280545-220,ES5 2
way/139280769-220,ES5 0
way/148347794-220,ES5 4
way/347643820-220,ES5 1
way/81409681-220,ES5 3
CH48-225,FR0 351
CH49-225,FR0 351
CH51-400,FR0 358
FR1-225,FR0 246
FR100-225,FR0 345
FR101-225,FR0 427
FR102-400,FR0 378
FR103-225,FR0 180
FR104-225,FR0 398
FR105-225,FR0 398
FR106-225,FR0 398
FR107-225,FR0 218
FR108-225,FR0 218
FR109-225,FR0 56
FR110-400,FR0 169
FR111-225,FR0 429
FR112-225,FR0 72
FR113-225,FR0 60
FR115-225,FR0 53
FR117-225,FR0 311
FR118-225,FR0 29
FR119-225,FR0 325
FR121-225,FR0 100
FR122-225,FR0 13
FR123-225,FR0 223
FR124-225,FR0 58
FR125-225,FR0 58
FR128-400,FR0 152
FR129-225,FR0 90
FR130-225,FR0 90
FR131-225,FR0 66
FR132-225,FR0 90
FR134-225,FR0 422
FR135-225,FR0 299
FR136-400,FR0 114
FR137-225,FR0 105
FR139-225,FR0 294
FR140-225,FR0 39
FR141-225,FR0 195
FR142-225,FR0 238
FR143-225,FR0 238
FR144-225,FR0 52
FR145-225,FR0 52
FR146-225,FR0 437
FR148-225,FR0 437
FR149-225,FR0 426
FR15-400,FR0 309
FR150-225,FR0 289
FR151-225,FR0 289
FR153-225,FR0 289
FR154-225,FR0 84
FR156-225,FR0 386
FR157-225,FR0 315
FR158-225,FR0 289
FR159-400,FR0 279
FR16-225,FR0 99
FR160-225,FR0 386
FR161-400,FR0 279
FR162-225,FR0 23
FR163-400,FR0 305
FR164-225,FR0 176
FR165-225,FR0 176
FR166-225,FR0 176
FR167-225,FR0 141
FR168-225,FR0 141
FR169-225,FR0 141
FR170-225,FR0 375
FR171-225,FR0 300
FR172-225,FR0 379
FR173-225,FR0 67
FR174-225,FR0 300
FR175-225,FR0 82
FR176-225,FR0 64
FR177-225,FR0 262
FR178-225,FR0 89
FR179-225,FR0 89
FR180-225,FR0 89
FR181-400,FR0 151
FR182-225,FR0 417
FR183-225,FR0 401
FR185-225,FR0 147
FR186-225,FR0 203
FR187-225,FR0 162
FR188-225,FR0 147
FR189-225,FR0 4
FR19-225,FR0 260
FR190-225,FR0 199
FR191-225,FR0 199
FR192-400,FR0 4
FR193-225,FR0 256
FR195-225,FR0 397
FR196-225,FR0 409
FR197-225,FR0 392
FR198-225,FR0 143
FR199-225,FR0 392
FR2-225,FR0 424
FR200-225,FR0 61
FR201-225,FR0 76
FR202-225,FR0 61
FR203-225,FR0 61
FR204-225,FR0 61
FR22-225,FR0 390
FR23-225,FR0 14
FR24-225,FR0 101
FR25-225,FR0 14
FR26-225,FR0 356
FR27-225,FR0 356
FR29-225,FR0 396
FR3-225,FR0 424
FR30-225,FR0 228
FR31-225,FR0 356
FR32-225,FR0 377
FR33-225,FR0 34
FR34-400,FR0 65
FR35-225,FR0 34
FR36-225,FR0 396
FR37-225,FR0 135
FR38-225,FR0 323
FR39-225,FR0 255
FR40-400,FR0 247
FR41-225,FR0 184
FR42-225,FR0 323
FR45-225,FR0 333
FR46-225,FR0 317
FR47-225,FR0 317
FR48-225,FR0 423
FR49-225,FR0 317
FR51-225,FR0 364
FR52-225,FR0 77
FR53-225,FR0 77
FR55-225,FR0 364
FR57-225,FR0 298
FR58-225,FR0 298
FR59-225,FR0 298
FR6-225,FR0 17
FR60-225,FR0 125
FR61-225,FR0 330
FR63-400,FR0 330
FR65-225,FR0 6
FR67-225,FR0 6
FR68-225,FR0 125
FR7-225,FR0 17
FR70-225,FR0 125
FR71-225,FR0 330
FR72-225,FR0 125
FR73-225,FR0 330
FR74-225,FR0 171
FR75-225,FR0 359
FR76-225,FR0 359
FR77-400,FR0 88
FR78-400,FR0 88
FR79-225,FR0 214
FR81-225,FR0 31
FR82-225,FR0 31
FR83-225,FR0 12
FR84-400,FR0 232
FR85-225,FR0 116
FR86-225,FR0 272
FR87-225,FR0 73
FR88-225,FR0 21
FR89-225,FR0 272
FR9-225,FR0 339
FR90-225,FR0 272
FR91-225,FR0 148
FR92-225,FR0 138
FR93-225,FR0 282
FR94-225,FR0 276
FR95-400,FR0 276
FR96-400,FR0 276
FR97-225,FR0 261
FR98-225,FR0 360
FR99-225,FR0 261
relation/13260100-400,FR0 108
relation/13260224-225,FR0 424
relation/15956164-225,FR0 273
relation/1604500-225,FR0 402
way/100021432-225,FR0 117
way/100087916-400,FR0 4
way/1000881525-400,FR0 197
way/100500802-400,FR0 265
way/101086962-225,FR0 49
way/101108382-225,FR0 217
way/101207712-225,FR0 277
way/101217260-225,FR0 230
way/101228343-225,FR0 364
way/101494744-225,FR0 363
way/103365741-225,FR0 308
way/103921705-225,FR0 18
way/103960552-225,FR0 220
way/104008765-225,FR0 144
way/1041877812-225,FR0 321
way/104240116-225,FR0 64
way/104481448-225,FR0 143
way/1046982647-225,FR0 218
way/105197514-225,FR0 156
way/105202875-225,FR0 143
way/105515586-400,FR0 279
way/105571340-400,FR0 120
way/105630888-400,FR0 69
way/1056316394-225,FR0 271
way/105652436-225,FR0 47
way/105652455-225,FR0 120
way/105690676-400,FR0 57
way/105783300-400,FR0 160
way/105840884-400,FR0 75
way/105913465-400,FR0 151
way/105913481-225,FR0 175
way/106284701-225,FR0 374
way/1067248696-225,FR0 273
way/107121899-225,FR0 289
way/1076166858-225,FR0 424
way/108084125-225,FR0 377
way/108089073-225,FR0 377
way/1081289679-225,FR0 307
way/1091109862-225,FR0 285
way/109817708-400,FR0 94
way/109859712-400,FR0 155
way/110086345-400,FR0 18
way/110443404-400,FR0 242
way/110450456-400,FR0 15
way/110468028-225,FR0 354
way/110522458-225,FR0 15
way/110542740-225,FR0 377
way/110602470-225,FR0 397
way/111265307-225,FR0 55
way/111276881-225,FR0 197
way/111414142-400,FR0 71
way/111449797-225,FR0 379
way/111456385-400,FR0 28
way/111458307-400,FR0 70
way/111558550-400,FR0 10
way/111558561-225,FR0 10
way/111769053-225,FR0 129
way/111816982-225,FR0 104
way/1121036738-225,FR0 95
way/112310487-225,FR0 68
way/112342683-400,FR0 311
way/112893617-400,FR0 86
way/112925040-225,FR0 158
way/113338234-225,FR0 249
way/114018928-400,FR0 291
way/114254761-225,FR0 363
way/114355666-400,FR0 62
way/114359287-225,FR0 121
way/114363583-400,FR0 405
way/114730382-225,FR0 392
way/115437692-225,FR0 35
way/115476080-225,FR0 275
way/116168269-225,FR0 131
way/1162035523-225,FR0 423
way/116670124-225,FR0 372
way/116702384-225,FR0 430
way/117350758-400,FR0 44
way/117421453-225,FR0 239
way/117446403-400,FR0 241
way/117537715-225,FR0 359
way/117810798-225,FR0 418
way/117893799-400,FR0 403
way/117975440-400,FR0 78
way/118079877-400,FR0 59
way/118086309-400,FR0 6
way/118121876-400,FR0 16
way/118127416-225,FR0 195
way/118133021-225,FR0 238
way/118133060-225,FR0 114
way/118133898-225,FR0 411
way/118213015-225,FR0 61
way/118216358-225,FR0 9
way/118216361-225,FR0 350
way/118260031-225,FR0 430
way/118387083-400,FR0 139
way/118387084-225,FR0 139
way/118400622-225,FR0 235
way/118400623-225,FR0 8
way/118591672-225,FR0 373
way/118655802-400,FR0 407
way/118684662-225,FR0 61
way/118727701-225,FR0 191
way/119048154-225,FR0 283
way/1198130346-225,FR0 366
way/120464542-225,FR0 102
way/120522167-225,FR0 166
way/120553316-225,FR0 173
way/120707003-400,FR0 389
way/120861987-225,FR0 216
way/121024004-225,FR0 272
way/121087628-225,FR0 170
way/121101846-225,FR0 128
way/121116528-225,FR0 276
way/121152763-225,FR0 293
way/121161175-225,FR0 96
way/121297422-400,FR0 186
way/121499607-225,FR0 4
way/121500497-400,FR0 115
way/122061929-225,FR0 161
way/122104435-225,FR0 421
way/122361853-225,FR0 250
way/122411058-225,FR0 258
way/122563466-400,FR0 58
way/122568639-225,FR0 190
way/122748502-225,FR0 274
way/122752897-225,FR0 163
way/122755047-225,FR0 274
way/122755068-225,FR0 253
way/122923029-225,FR0 122
way/123120808-225,FR0 183
way/1231941645-225,FR0 141
way/1236363679-225,FR0 234
way/1236930242-225,FR0 196
way/125003945-225,FR0 306
way/125076979-225,FR0 363
way/125164718-225,FR0 269
way/125494395-225,FR0 111
way/125495792-225,FR0 338
way/125550372-225,FR0 229
way/125721667-225,FR0 363
way/126417428-225,FR0 310
way/1271288345-400,FR0 252
way/1272896526-225,FR0 98
way/1275810585-400,FR0 187
way/128106453-225,FR0 416
way/128524174-225,FR0 74
way/129026531-225,FR0 434
way/129378915-400,FR0 65
way/129440971-225,FR0 339
way/129581885-225,FR0 81
way/129614642-225,FR0 81
way/129624451-225,FR0 220
way/129631438-225,FR0 41
way/129662180-225,FR0 423
way/129830455-225,FR0 425
way/130017468-225,FR0 51
way/130132975-225,FR0 310
way/130459448-225,FR0 251
way/130549366-225,FR0 52
way/130562947-225,FR0 52
way/130595758-225,FR0 167
way/130659505-225,FR0 202
way/130792479-225,FR0 401
way/131317126-225,FR0 17
way/1328928952-225,FR0 438
way/133400747-225,FR0 431
way/133637359-225,FR0 437
way/133667044-225,FR0 412
way/133868507-225,FR0 363
way/134147651-225,FR0 1
way/135183628-225,FR0 401
way/135314787-225,FR0 300
way/135585545-225,FR0 319
way/135727900-225,FR0 201
way/135855286-225,FR0 287
way/136068611-225,FR0 66
way/136326140-225,FR0 5
way/136416550-225,FR0 37
way/137083764-225,FR0 363
way/137191333-225,FR0 322
way/137365310-225,FR0 130
way/137474877-225,FR0 212
way/138108387-225,FR0 178
way/138149900-225,FR0 109
way/138278216-225,FR0 43
way/138382023-400,FR0 211
way/138610604-225,FR0 379
way/138787590-225,FR0 208
way/138979502-225,FR0 314
way/139098414-225,FR0 85
way/139593701-225,FR0 346
way/139834740-225,FR0 107
way/142360067-225,FR0 305
way/142420422-225,FR0 352
way/142456148-225,FR0 433
way/142456170-225,FR0 325
way/142456176-225,FR0 112
way/142505460-225,FR0 324
way/142571672-225,FR0 200
way/143283235-225,FR0 2
way/144099634-225,FR0 84
way/146360237-225,FR0 87
way/146360243-225,FR0 301
way/146360244-225,FR0 79
way/146366949-225,FR0 188
way/146402374-225,FR0 219
way/146449309-400,FR0 336
way/146449312-225,FR0 408
way/146449314-225,FR0 113
way/146534501-225,FR0 284
way/146534504-225,FR0 210
way/146534507-225,FR0 357
way/146590045-225,FR0 26
way/146590048-225,FR0 413
way/146695955-400,FR0 31
way/146744609-225,FR0 396
way/147132682-225,FR0 426
way/147132685-400,FR0 341
way/147132690-400,FR0 159
way/147132693-225,FR0 159
way/147174230-225,FR0 168
way/147174234-225,FR0 136
way/147174244-225,FR0 140
way/147174246-225,FR0 392
way/147174253-225,FR0 199
way/147187631-225,FR0 394
way/147187633-225,FR0 393
way/147394004-225,FR0 379
way/147394005-225,FR0 295
way/147394006-225,FR0 63
way/147394007-225,FR0 22
way/147394008-225,FR0 331
way/147394009-225,FR0 31
way/147394010-225,FR0 22
way/147394011-225,FR0 348
way/147394012-225,FR0 91
way/147394015-225,FR0 204
way/147394016-225,FR0 259
way/147398275-225,FR0 164
way/147398276-225,FR0 30
way/147398278-225,FR0 154
way/147398279-225,FR0 419
way/147580956-225,FR0 283
way/147580961-225,FR0 119
way/147580963-225,FR0 273
way/147580965-225,FR0 312
way/147580968-225,FR0 341
way/147580973-225,FR0 288
way/147580978-225,FR0 326
way/147580984-225,FR0 164
way/147580985-225,FR0 400
way/147580994-225,FR0 370
way/147580996-225,FR0 32
way/147581003-225,FR0 14
way/147581004-225,FR0 181
way/148059534-225,FR0 388
way/148059535-225,FR0 321
way/148059537-225,FR0 296
way/148564021-225,FR0 435
way/150329778-225,FR0 237
way/150366395-225,FR0 217
way/152120009-225,FR0 353
way/152778326-225,FR0 343
way/152835217-225,FR0 134
way/154391107-225,FR0 53
way/158232795-225,FR0 317
way/159167277-400,FR0 145
way/162540710-400,FR0 347
way/16287586-225,FR0 402
way/165830069-225,FR0 17
way/165966009-225,FR0 17
way/166057222-225,FR0 316
way/166073883-400,FR0 263
way/169393427-225,FR0 273
way/169799372-225,FR0 273
way/170028621-400,FR0 286
way/170184991-225,FR0 48
way/171051788-225,FR0 162
way/177428102-225,FR0 98
way/177964767-225,FR0 318
way/177964771-225,FR0 63
way/178995408-225,FR0 434
way/179260933-400,FR0 42
way/179848961-225,FR0 233
way/180569105-225,FR0 101
way/182816228-225,FR0 226
way/183105308-225,FR0 341
way/183182430-225,FR0 369
way/183215456-225,FR0 183
way/183818442-225,FR0 179
way/184492595-225,FR0 244
way/188144496-400,FR0 317
way/193292042-400,FR0 221
way/196073443-225,FR0 198
way/197040234-225,FR0 73
way/199093574-225,FR0 423
way/199229562-400,FR0 369
way/203122176-225,FR0 290
way/204349873-225,FR0 356
way/207292011-225,FR0 356
way/207479669-225,FR0 165
way/208424341-225,FR0 387
way/210389707-400,FR0 79
way/211875283-225,FR0 308
way/214483816-400,FR0 225
way/214858101-225,FR0 392
way/219639224-225,FR0 257
way/222188543-400,FR0 334
way/225210595-400,FR0 373
way/226898600-225,FR0 38
way/228049601-225,FR0 392
way/22873838-225,FR0 414
way/22873840-225,FR0 414
way/22938964-225,FR0 38
way/229597405-400,FR0 302
way/231157304-225,FR0 2
way/231157312-225,FR0 231
way/23286313-400,FR0 124
way/23287448-400,FR0 330
way/235370803-400,FR0 75
way/24020441-400,FR0 294
way/24020601-400,FR0 294
way/24025291-400,FR0 114
way/24035563-225,FR0 267
way/241189382-400,FR0 388
way/243285438-225,FR0 363
way/244036491-225,FR0 415
way/247427865-225,FR0 270
way/24849819-400,FR0 243
way/24913871-225,FR0 171
way/24919917-225,FR0 171
way/24923808-225,FR0 374
way/24990664-225,FR0 243
way/260211728-380,FR0 297
way/260579119-225,FR0 61
way/26272450-225,FR0 38
way/26376732-225,FR0 330
way/26376870-400,FR0 329
way/26395237-225,FR0 38
way/265745327-225,FR0 26
way/26813222-225,FR0 374
way/270540194-225,FR0 423
way/27259817-400,FR0 281
way/273536873-225,FR0 157
way/27428702-225,FR0 281
way/27558020-225,FR0 379
way/27768969-225,FR0 281
way/278718504-225,FR0 296
way/27951432-400,FR0 192
way/28706541-225,FR0 344
way/28761900-225,FR0 374
way/29088787-400,FR0 364
way/292180238-225,FR0 344
way/292629713-225,FR0 395
way/294002018-225,FR0 54
way/295403868-400,FR0 88
way/299860588-225,FR0 77
way/299862996-225,FR0 185
way/30292953-400,FR0 142
way/307228675-225,FR0 355
way/312728271-400,FR0 83
way/318195497-225,FR0 380
way/318502246-400,FR0 383
way/32067290-225,FR0 414
way/32196554-400,FR0 378
way/327505353-225,FR0 77
way/327505354-225,FR0 395
way/32876673-225,FR0 344
way/33113310-225,FR0 298
way/338324854-225,FR0 423
way/33973725-225,FR0 359
way/34198056-400,FR0 342
way/34349978-225,FR0 108
way/34387620-225,FR0 108
way/34398164-225,FR0 108
way/34398358-225,FR0 108
way/350044068-225,FR0 395
way/35206465-225,FR0 17
way/35538714-225,FR0 395
way/36286080-225,FR0 49
way/36805588-400,FR0 55
way/374150877-225,FR0 184
way/378126683-225,FR0 285
way/38073132-225,FR0 40
way/38830347-225,FR0 368
way/392683619-225,FR0 362
way/39389229-400,FR0 36
way/39407602-225,FR0 325
way/397885581-225,FR0 413
way/40266681-225,FR0 156
way/403385451-225,FR0 91
way/405909509-225,FR0 237
way/406691575-225,FR0 371
way/41436841-225,FR0 184
way/41591146-225,FR0 349
way/416438053-225,FR0 346
way/416438054-225,FR0 420
way/41829825-400,FR0 213
way/41834104-225,FR0 2
way/432466512-400,FR0 7
way/434500830-225,FR0 150
way/440538762-225,FR0 335
way/440600377-225,FR0 56
way/442651900-400,FR0 349
way/44357629-225,FR0 240
way/444069687-400,FR0 332
way/44448089-225,FR0 231
way/445088111-225,FR0 364
way/448355914-400,FR0 127
way/448722478-400,FR0 64
way/44883864-400,FR0 320
way/454932860-225,FR0 25
way/455245314-225,FR0 38
way/46172440-225,FR0 308
way/467599626-225,FR0 346
way/467775702-400,FR0 230
way/467799728-225,FR0 268
way/468096792-225,FR0 50
way/473670083-225,FR0 52
way/474926055-225,FR0 209
way/47633664-225,FR0 426
way/47660196-225,FR0 240
way/47739331-225,FR0 58
way/479781321-225,FR0 367
way/484952897-225,FR0 117
way/48815655-225,FR0 359
way/489118827-225,FR0 117
way/490191058-225,FR0 404
way/490392953-225,FR0 61
way/49049745-400,FR0 371
way/491655540-225,FR0 88
way/495078839-225,FR0 287
way/49510896-400,FR0 292
way/497510591-225,FR0 423
way/514597856-225,FR0 38
way/536127194-225,FR0 306
way/53727352-225,FR0 2
way/53944139-225,FR0 2
way/547443051-225,FR0 149
way/549010403-225,FR0 61
way/549628003-225,FR0 19
way/549628132-225,FR0 304
way/552467306-225,FR0 103
way/553127674-225,FR0 376
way/553509645-225,FR0 141
way/553509651-225,FR0 300
way/558437000-225,FR0 435
way/56585982-225,FR0 399
way/56997464-400,FR0 39
way/56998024-400,FR0 39
way/571067152-225,FR0 132
way/57941014-225,FR0 100
way/580568888-400,FR0 337
way/580927266-400,FR0 133
way/583372101-225,FR0 23
way/584362062-225,FR0 185
way/585985166-225,FR0 293
way/589691209-225,FR0 382
way/589696032-225,FR0 246
way/589696042-225,FR0 194
way/590596961-225,FR0 365
way/590866686-225,FR0 61
way/604408491-225,FR0 20
way/616985188-225,FR0 431
way/620325313-225,FR0 248
way/62233233-225,FR0 280
way/62279693-225,FR0 363
way/627450679-225,FR0 73
way/627450758-225,FR0 224
way/63213632-225,FR0 355
way/63641119-225,FR0 412
way/64040939-225,FR0 355
way/655200312-225,FR0 412
way/658560999-225,FR0 430
way/658561191-225,FR0 330
way/659343518-400,FR0 137
way/659913223-225,FR0 332
way/666332422-225,FR0 359
way/666332466-225,FR0 434
way/671113556-225,FR0 330
way/682366021-225,FR0 231
way/682366052-225,FR0 231
way/68589514-400,FR0 252
way/68925871-225,FR0 355
way/69332224-225,FR0 436
way/69813552-400,FR0 156
way/69999641-225,FR0 412
way/70452467-225,FR0 110
way/715176993-225,FR0 415
way/715177063-225,FR0 280
way/71933077-400,FR0 191
way/71933086-400,FR0 340
way/725699702-225,FR0 325
way/730015498-225,FR0 209
way/733773947-225,FR0 61
way/733773951-225,FR0 61
way/733773994-225,FR0 61
way/740849522-225,FR0 412
way/74699439-225,FR0 236
way/75509664-225,FR0 303
way/756397226-225,FR0 220
way/75750171-225,FR0 355
way/757982264-225,FR0 99
way/759073166-225,FR0 93
way/76032001-225,FR0 355
way/760653905-225,FR0 205
way/761507281-400,FR0 358
way/765852555-225,FR0 227
way/765852556-225,FR0 396
way/777545899-225,FR0 172
way/78052541-225,FR0 412
way/78148795-225,FR0 412
way/788298548-400,FR0 193
way/79805353-225,FR0 231
way/79866837-400,FR0 232
way/80719004-225,FR0 197
way/81228088-400,FR0 182
way/81638061-225,FR0 378
way/81641090-400,FR0 368
way/81665271-400,FR0 266
way/81758476-400,FR0 207
way/818615628-225,FR0 254
way/818615639-225,FR0 413
way/818615644-225,FR0 189
way/818615647-225,FR0 328
way/82226136-225,FR0 255
way/82306874-400,FR0 386
way/823662696-225,FR0 355
way/823662702-400,FR0 381
way/823662705-400,FR0 296
way/823872751-225,FR0 326
way/823872752-225,FR0 402
way/823872758-225,FR0 118
way/823872762-225,FR0 33
way/82467033-225,FR0 415
way/82599261-400,FR0 406
way/82715808-400,FR0 347
way/82741307-400,FR0 227
way/82746777-225,FR0 227
way/82746780-225,FR0 364
way/82805188-400,FR0 215
way/82825438-400,FR0 309
way/82825446-400,FR0 153
way/82949228-400,FR0 309
way/82967739-400,FR0 264
way/82976238-225,FR0 264
way/83293593-400,FR0 245
way/83705700-225,FR0 380
way/83726363-400,FR0 67
way/83819431-225,FR0 412
way/84153220-400,FR0 105
way/84182609-400,FR0 302
way/84452130-400,FR0 174
way/84476231-400,FR0 238
way/84485792-400,FR0 416
way/84490483-400,FR0 64
way/84603564-400,FR0 141
way/85047359-400,FR0 286
way/85198005-400,FR0 252
way/85203486-400,FR0 81
way/85217416-400,FR0 385
way/85273676-225,FR0 372
way/85273680-400,FR0 278
way/85335661-400,FR0 350
way/85339874-225,FR0 432
way/85605950-400,FR0 17
way/85605959-400,FR0 431
way/85710783-400,FR0 177
way/85719389-400,FR0 123
way/85821243-400,FR0 106
way/85827397-400,FR0 393
way/85827398-400,FR0 327
way/85845085-400,FR0 146
way/85867971-400,FR0 46
way/85877326-400,FR0 92
way/85895367-400,FR0 34
way/85955250-225,FR0 228
way/85995894-400,FR0 261
way/86023818-400,FR0 3
way/86131984-400,FR0 45
way/86162998-400,FR0 11
way/86260099-400,FR0 133
way/86260748-400,FR0 282
way/86297273-400,FR0 222
way/86342772-400,FR0 56
way/86344183-400,FR0 169
way/86462910-225,FR0 60
way/86969390-225,FR0 80
way/89022039-225,FR0 247
way/89022080-400,FR0 193
way/890834366-400,FR0 24
way/89158123-225,FR0 404
way/90032133-225,FR0 359
way/90415251-225,FR0 410
way/907536278-225,FR0 391
way/90842395-400,FR0 26
way/90854143-225,FR0 135
way/91351689-225,FR0 206
way/92896823-225,FR0 325
way/93189928-400,FR0 428
way/95209542-225,FR0 0
way/95409416-225,FR0 97
way/956596300-225,FR0 271
way/95810878-225,FR0 156
way/96839470-225,FR0 308
way/98390525-400,FR0 361
way/986799738-225,FR0 29
way/98890904-400,FR0 27
way/98945703-225,FR0 384
way/99623587-225,FR0 313
way/99722046-400,FR0 126
way/136594238,FR3 0
GB10-275,GB1 307
GB13-400,GB1 250
GB14-400,GB1 184
GB15-275,GB1 241
GB16-400,GB1 258
GB17-275,GB1 224
GB20-400,GB1 24
GB22-400,GB1 133
GB25-400,GB1 248
GB26-275,GB1 288
GB27-400,GB1 129
GB28-275,GB1 190
GB29-275,GB1 153
GB30-400,GB1 256
GB31-400,GB1 268
GB32-400,GB1 101
GB33-400,GB1 188
GB34-400,GB1 293
GB36-400,GB1 306
GB37-275,GB1 282
GB39-400,GB1 275
GB40-275,GB1 291
GB41-275,GB1 246
GB42-275,GB1 84
GB44-275,GB1 26
GB47-400,GB1 308
GB48-400,GB1 265
GB50-400,GB1 214
GB51-400,GB1 11
